CMDLINE python multasktf_timespace.py
MEM 0.632812 1730257069.6985
MEM 29.308594 1730257069.7990
MEM 81.312500 1730257069.8994
MEM 104.773438 1730257069.9998
MEM 119.042969 1730257070.1002
MEM 150.187500 1730257070.2006
MEM 186.648438 1730257070.3010
MEM 198.785156 1730257070.4014
MEM 214.261719 1730257070.5016
MEM 221.300781 1730257070.6020
MEM 231.472656 1730257070.7025
MEM 239.187500 1730257070.8029
MEM 243.992188 1730257070.9033
MEM 263.863281 1730257071.0037
MEM 279.507812 1730257071.1041
MEM 283.757812 1730257071.2045
MEM 298.406250 1730257071.3048
MEM 308.605469 1730257071.4051
MEM 314.773438 1730257071.5055
MEM 315.125000 1730257071.6059
MEM 322.472656 1730257071.7063
MEM 337.859375 1730257071.8068
MEM 354.074219 1730257071.9072
MEM 370.285156 1730257072.0076
MEM 384.613281 1730257072.1080
MEM 400.867188 1730257072.2084
MEM 417.046875 1730257072.3088
MEM 431.406250 1730257072.4092
MEM 447.621094 1730257072.5096
MEM 463.796875 1730257072.6100
MEM 478.425781 1730257072.7104
MEM 494.300781 1730257072.8107
MEM 510.203125 1730257072.9110
MEM 526.164062 1730257073.0114
MEM 540.789062 1730257073.1118
MEM 556.773438 1730257073.2122
MEM 572.917969 1730257073.3126
MEM 587.292969 1730257073.4130
MEM 603.500000 1730257073.5134
MEM 619.667969 1730257073.6138
MEM 634.632812 1730257073.7142
MEM 650.214844 1730257073.8146
MEM 666.160156 1730257073.9151
MEM 682.089844 1730257074.0155
MEM 697.355469 1730257074.1159
MEM 715.160156 1730257074.2163
MEM 733.253906 1730257074.3167
MEM 739.562500 1730257074.4171
MEM 756.148438 1730257074.5175
MEM 773.996094 1730257074.6179
MEM 791.808594 1730257074.7183
MEM 808.031250 1730257074.8188
MEM 825.839844 1730257074.9192
MEM 843.660156 1730257075.0196
MEM 860.132812 1730257075.1200
MEM 877.933594 1730257075.2204
MEM 895.890625 1730257075.3208
MEM 911.816406 1730257075.4212
MEM 929.558594 1730257075.5216
MEM 946.800781 1730257075.6220
MEM 962.300781 1730257075.7224
MEM 976.605469 1730257075.8228
MEM 976.605469 1730257075.9231
MEM 976.605469 1730257076.0235
MEM 983.351562 1730257076.1239
MEM 993.914062 1730257076.2243
MEM 994.085938 1730257076.3247
MEM 994.226562 1730257076.4251
MEM 994.226562 1730257076.5255
MEM 994.226562 1730257076.6259
MEM 994.476562 1730257076.7263
MEM 994.554688 1730257076.8268
MEM 994.648438 1730257076.9272
MEM 994.726562 1730257077.0276
MEM 994.726562 1730257077.1280
MEM 994.726562 1730257077.2284
MEM 994.976562 1730257077.3288
MEM 994.976562 1730257077.4292
MEM 995.199219 1730257077.5296
MEM 995.226562 1730257077.6300
MEM 995.226562 1730257077.7304
MEM 883.554688 1730257077.8308
MEM 505.613281 1730257077.9312
MEM 467.308594 1730257078.0317
MEM 467.316406 1730257078.1321
MEM 481.335938 1730257078.2325
