CMDLINE python multasktf_timespace.py
MEM 1.328125 1730256676.0676
MEM 31.058594 1730256676.1680
MEM 69.878906 1730256676.2685
MEM 102.363281 1730256676.3689
MEM 118.378906 1730256676.4693
MEM 160.386719 1730256676.5697
MEM 188.371094 1730256676.6701
MEM 199.355469 1730256676.7705
MEM 214.742188 1730256676.8708
MEM 223.062500 1730256676.9712
MEM 233.531250 1730256677.0715
MEM 241.562500 1730256677.1718
MEM 254.679688 1730256677.2722
MEM 271.425781 1730256677.3725
MEM 282.554688 1730256677.4729
MEM 293.156250 1730256677.5735
MEM 303.277344 1730256677.6739
MEM 310.996094 1730256677.7741
MEM 315.425781 1730256677.8744
MEM 320.605469 1730256677.9747
MEM 337.796875 1730256678.0751
MEM 354.644531 1730256678.1756
MEM 371.875000 1730256678.2761
MEM 386.761719 1730256678.3766
MEM 403.984375 1730256678.4771
MEM 421.226562 1730256678.5775
MEM 437.097656 1730256678.6780
MEM 454.265625 1730256678.7785
MEM 471.449219 1730256678.8789
MEM 487.031250 1730256678.9794
MEM 504.164062 1730256679.0798
MEM 521.078125 1730256679.1803
MEM 536.960938 1730256679.2808
MEM 554.515625 1730256679.3812
MEM 571.941406 1730256679.4816
MEM 587.593750 1730256679.5822
MEM 605.089844 1730256679.6826
MEM 622.593750 1730256679.7831
MEM 638.503906 1730256679.8837
MEM 655.984375 1730256679.9842
MEM 673.484375 1730256680.0846
MEM 689.402344 1730256680.1852
MEM 706.871094 1730256680.2857
MEM 724.398438 1730256680.3861
MEM 739.859375 1730256680.4868
MEM 746.644531 1730256680.5873
MEM 764.136719 1730256680.6878
MEM 781.613281 1730256680.7883
MEM 797.523438 1730256680.8889
MEM 815.000000 1730256680.9894
MEM 832.507812 1730256681.0899
MEM 848.347656 1730256681.1905
MEM 865.585938 1730256681.2911
MEM 883.175781 1730256681.3916
MEM 899.062500 1730256681.4921
MEM 916.253906 1730256681.5926
MEM 933.726562 1730256681.6932
MEM 949.652344 1730256681.7938
MEM 967.097656 1730256681.8943
MEM 976.378906 1730256681.9948
MEM 772.277344 1730256682.0955
MEM 461.191406 1730256682.1960
MEM 448.781250 1730256682.2966
MEM 448.882812 1730256682.3972
MEM 462.816406 1730256682.4978
