CMDLINE python multasktf_timespace.py
MEM 1.378906 1730770674.5331
MEM 17.609375 1730770674.6336
MEM 19.234375 1730770674.7340
MEM 19.804688 1730770674.8344
MEM 23.523438 1730770674.9348
MEM 25.734375 1730770675.0352
MEM 30.265625 1730770675.1356
MEM 31.808594 1730770675.2360
MEM 31.988281 1730770675.3364
MEM 32.238281 1730770675.4368
MEM 32.371094 1730770675.5372
MEM 33.757812 1730770675.6376
MEM 33.757812 1730770675.7380
MEM 35.816406 1730770675.8384
MEM 37.566406 1730770675.9388
MEM 40.218750 1730770676.0392
MEM 43.121094 1730770676.1396
MEM 47.609375 1730770676.2400
MEM 51.039062 1730770676.3404
MEM 55.941406 1730770676.4408
MEM 57.710938 1730770676.5412
MEM 58.632812 1730770676.6416
MEM 60.246094 1730770676.7420
MEM 61.738281 1730770676.8424
MEM 61.738281 1730770676.9428
MEM 63.933594 1730770677.0432
MEM 66.074219 1730770677.1436
MEM 71.183594 1730770677.2440
MEM 72.398438 1730770677.3444
MEM 74.628906 1730770677.4448
MEM 74.628906 1730770677.5452
MEM 76.449219 1730770677.6456
MEM 76.449219 1730770677.7460
MEM 78.207031 1730770677.8464
MEM 80.460938 1730770677.9468
MEM 85.683594 1730770678.0473
MEM 88.285156 1730770678.1476
MEM 89.187500 1730770678.2480
MEM 92.187500 1730770678.3484
MEM 93.402344 1730770678.4488
MEM 97.972656 1730770678.5492
MEM 104.906250 1730770678.6496
MEM 108.851562 1730770678.7500
MEM 112.839844 1730770678.8504
MEM 115.054688 1730770678.9508
MEM 120.359375 1730770679.0512
MEM 120.359375 1730770679.1516
MEM 123.023438 1730770679.2520
MEM 125.675781 1730770679.3524
MEM 126.812500 1730770679.4528
MEM 131.371094 1730770679.5532
MEM 133.355469 1730770679.6537
MEM 135.804688 1730770679.7541
MEM 139.578125 1730770679.8545
MEM 139.578125 1730770679.9549
MEM 141.285156 1730770680.0553
MEM 142.949219 1730770680.1557
MEM 145.878906 1730770680.2561
MEM 147.148438 1730770680.3565
MEM 148.593750 1730770680.4569
MEM 150.000000 1730770680.5573
MEM 153.269531 1730770680.6577
MEM 154.750000 1730770680.7581
MEM 156.195312 1730770680.8586
MEM 158.312500 1730770680.9590
MEM 166.921875 1730770681.0594
MEM 175.242188 1730770681.1598
MEM 177.089844 1730770681.2602
MEM 179.164062 1730770681.3606
MEM 180.550781 1730770681.4610
MEM 182.261719 1730770681.5614
MEM 184.109375 1730770681.6618
MEM 187.269531 1730770681.7622
MEM 190.011719 1730770681.8626
MEM 198.433594 1730770681.9630
MEM 205.984375 1730770682.0633
MEM 207.417969 1730770682.1637
MEM 208.761719 1730770682.2641
MEM 210.632812 1730770682.3645
MEM 212.441406 1730770682.4649
MEM 214.328125 1730770682.5654
MEM 216.769531 1730770682.6658
MEM 217.777344 1730770682.7662
MEM 218.671875 1730770682.8666
MEM 219.679688 1730770682.9670
MEM 220.703125 1730770683.0674
MEM 223.972656 1730770683.1678
MEM 224.972656 1730770683.2682
MEM 226.246094 1730770683.3686
MEM 226.531250 1730770683.4690
MEM 227.417969 1730770683.5695
MEM 228.500000 1730770683.6699
MEM 229.417969 1730770683.7703
MEM 231.839844 1730770683.8708
MEM 233.332031 1730770683.9712
MEM 237.632812 1730770684.0717
MEM 242.000000 1730770684.1721
MEM 256.078125 1730770684.2726
MEM 268.824219 1730770684.3731
MEM 269.703125 1730770684.4736
MEM 270.148438 1730770684.5740
MEM 271.230469 1730770684.6744
MEM 272.191406 1730770684.7748
MEM 273.730469 1730770684.8752
MEM 274.972656 1730770684.9756
MEM 275.921875 1730770685.0760
MEM 278.351562 1730770685.1764
MEM 280.832031 1730770685.2768
MEM 280.832031 1730770685.3772
MEM 280.832031 1730770685.4775
MEM 281.214844 1730770685.5778
MEM 281.964844 1730770685.6782
MEM 282.476562 1730770685.7786
MEM 283.269531 1730770685.8791
MEM 283.523438 1730770685.9795
MEM 287.714844 1730770686.0799
MEM 288.480469 1730770686.1803
MEM 289.476562 1730770686.2807
MEM 289.625000 1730770686.3811
MEM 291.718750 1730770686.4814
MEM 292.648438 1730770686.5817
MEM 294.160156 1730770686.6822
MEM 295.746094 1730770686.7826
MEM 297.125000 1730770686.8830
MEM 298.187500 1730770686.9834
MEM 299.484375 1730770687.0837
MEM 300.242188 1730770687.1841
MEM 301.003906 1730770687.2843
MEM 302.335938 1730770687.3847
MEM 303.378906 1730770687.4852
MEM 304.429688 1730770687.5856
MEM 306.406250 1730770687.6860
MEM 308.519531 1730770687.7864
MEM 310.777344 1730770687.8868
MEM 311.445312 1730770687.9872
MEM 312.660156 1730770688.0876
MEM 313.632812 1730770688.1880
MEM 313.890625 1730770688.2884
MEM 319.433594 1730770688.3888
MEM 336.625000 1730770688.4893
MEM 354.378906 1730770688.5898
MEM 370.976562 1730770688.6904
MEM 387.835938 1730770688.7910
MEM 405.371094 1730770688.8915
MEM 422.855469 1730770688.9921
MEM 438.761719 1730770689.0926
MEM 456.253906 1730770689.1932
MEM 473.738281 1730770689.2937
MEM 489.640625 1730770689.3942
MEM 507.070312 1730770689.4948
MEM 524.312500 1730770689.5953
MEM 540.468750 1730770689.6959
MEM 557.750000 1730770689.7964
MEM 575.507812 1730770689.8969
MEM 591.144531 1730770689.9975
MEM 608.652344 1730770690.0980
MEM 626.132812 1730770690.1985
MEM 642.031250 1730770690.2990
MEM 659.476562 1730770690.3995
MEM 676.976562 1730770690.5000
MEM 692.628906 1730770690.6006
MEM 709.488281 1730770690.7011
MEM 726.980469 1730770690.8016
MEM 738.320312 1730770690.9022
MEM 742.187500 1730770691.0028
MEM 759.671875 1730770691.1033
MEM 776.921875 1730770691.2038
MEM 792.812500 1730770691.3044
MEM 809.031250 1730770691.4048
MEM 826.464844 1730770691.5053
MEM 843.058594 1730770691.6059
MEM 859.601562 1730770691.7065
MEM 877.238281 1730770691.8070
MEM 894.367188 1730770691.9075
MEM 909.613281 1730770692.0080
MEM 927.117188 1730770692.1085
MEM 944.601562 1730770692.2090
MEM 956.066406 1730770692.3096
MEM 973.519531 1730770692.4100
MEM 979.101562 1730770692.5106
MEM 979.101562 1730770692.6111
MEM 979.101562 1730770692.7115
MEM 979.101562 1730770692.8119
MEM 979.101562 1730770692.9123
MEM 979.101562 1730770693.0127
MEM 979.101562 1730770693.1132
MEM 979.429688 1730770693.2136
MEM 985.238281 1730770693.3142
MEM 1001.816406 1730770693.4148
MEM 1024.648438 1730770693.5154
MEM 1037.023438 1730770693.6160
MEM 1037.023438 1730770693.7164
MEM 1037.093750 1730770693.8168
MEM 1037.093750 1730770693.9173
MEM 1037.093750 1730770694.0177
MEM 1037.093750 1730770694.1181
MEM 1037.343750 1730770694.2185
MEM 1037.343750 1730770694.3189
MEM 1037.343750 1730770694.4194
MEM 1037.343750 1730770694.5198
MEM 1037.593750 1730770694.6202
MEM 1037.593750 1730770694.7208
MEM 1037.664062 1730770694.8212
MEM 1037.730469 1730770694.9216
MEM 1037.843750 1730770695.0221
MEM 1037.843750 1730770695.1225
MEM 1037.843750 1730770695.2229
MEM 1037.843750 1730770695.3233
MEM 1038.093750 1730770695.4238
MEM 1038.093750 1730770695.5242
MEM 1038.093750 1730770695.6246
MEM 1038.093750 1730770695.7250
MEM 1038.343750 1730770695.8254
MEM 1038.343750 1730770695.9258
MEM 1038.343750 1730770696.0263
MEM 1038.492188 1730770696.1267
MEM 1038.593750 1730770696.2271
MEM 1038.593750 1730770696.3275
MEM 1038.593750 1730770696.4280
MEM 1038.593750 1730770696.5284
MEM 1038.843750 1730770696.6288
MEM 1038.843750 1730770696.7292
MEM 1038.843750 1730770696.8296
MEM 1039.027344 1730770696.9302
MEM 1039.027344 1730770697.0308
MEM 1039.027344 1730770697.1314
MEM 1039.093750 1730770697.2319
MEM 1039.093750 1730770697.3323
MEM 1039.093750 1730770697.4327
MEM 1039.093750 1730770697.5331
MEM 1039.343750 1730770697.6335
MEM 1039.343750 1730770697.7339
MEM 1039.343750 1730770697.8344
MEM 1039.343750 1730770697.9348
MEM 1039.593750 1730770698.0352
MEM 1039.593750 1730770698.1356
MEM 1039.593750 1730770698.2360
MEM 1039.593750 1730770698.3364
MEM 1039.843750 1730770698.4368
MEM 1039.843750 1730770698.5372
MEM 1039.843750 1730770698.6377
MEM 1040.027344 1730770698.7381
MEM 1040.093750 1730770698.8385
MEM 1040.093750 1730770698.9389
MEM 1040.093750 1730770699.0393
MEM 1040.261719 1730770699.1398
MEM 1040.343750 1730770699.2402
MEM 1040.343750 1730770699.3406
MEM 1040.343750 1730770699.4410
MEM 1040.343750 1730770699.5414
MEM 1040.593750 1730770699.6418
MEM 1040.593750 1730770699.7422
MEM 1040.593750 1730770699.8426
MEM 1040.593750 1730770699.9431
MEM 1040.843750 1730770700.0435
MEM 1040.843750 1730770700.1440
MEM 1040.843750 1730770700.2444
MEM 1040.843750 1730770700.3448
