CMDLINE python multasktf_timespace.py
MEM 1.402344 1730256570.7874
MEM 35.554688 1730256570.8879
MEM 69.906250 1730256570.9883
MEM 100.492188 1730256571.0887
MEM 117.050781 1730256571.1891
MEM 137.886719 1730256571.2895
MEM 185.300781 1730256571.3899
MEM 198.496094 1730256571.4903
MEM 213.953125 1730256571.5907
MEM 221.078125 1730256571.6911
MEM 231.246094 1730256571.7915
MEM 239.496094 1730256571.8919
MEM 251.503906 1730256571.9923
MEM 267.960938 1730256572.0927
MEM 281.835938 1730256572.1931
MEM 288.179688 1730256572.2935
MEM 301.128906 1730256572.3939
MEM 309.855469 1730256572.4943
MEM 314.820312 1730256572.5947
MEM 317.781250 1730256572.6951
MEM 335.507812 1730256572.7954
MEM 353.054688 1730256572.8958
MEM 370.859375 1730256572.9962
MEM 386.710938 1730256573.0965
MEM 404.609375 1730256573.1969
MEM 421.468750 1730256573.2972
MEM 437.675781 1730256573.3977
MEM 455.187500 1730256573.4981
MEM 472.605469 1730256573.5984
MEM 487.292969 1730256573.6988
MEM 504.722656 1730256573.7992
MEM 521.660156 1730256573.8996
MEM 536.839844 1730256574.0000
MEM 554.117188 1730256574.1004
MEM 571.003906 1730256574.2008
MEM 585.941406 1730256574.3013
MEM 603.128906 1730256574.4017
MEM 620.308594 1730256574.5021
MEM 635.511719 1730256574.6025
MEM 652.718750 1730256574.7029
MEM 669.601562 1730256574.8033
MEM 686.476562 1730256574.9037
MEM 701.359375 1730256575.0041
MEM 718.273438 1730256575.1045
MEM 735.136719 1730256575.2049
MEM 739.488281 1730256575.3053
MEM 752.621094 1730256575.4057
MEM 769.734375 1730256575.5061
MEM 786.601562 1730256575.6065
MEM 801.281250 1730256575.7070
MEM 818.472656 1730256575.8073
MEM 835.625000 1730256575.9078
MEM 850.582031 1730256576.0082
MEM 867.765625 1730256576.1086
MEM 885.007812 1730256576.2090
MEM 899.949219 1730256576.3095
MEM 917.144531 1730256576.4099
MEM 934.332031 1730256576.5103
MEM 949.562500 1730256576.6107
MEM 966.746094 1730256576.7111
MEM 972.312500 1730256576.8115
MEM 714.519531 1730256576.9119
MEM 459.378906 1730256577.0124
MEM 448.109375 1730256577.1128
MEM 448.000000 1730256577.2132
MEM 462.148438 1730256577.3136
