CMDLINE python caphv_timespaceanalysis.py
MEM 1.828125 1730722926.1928
MEM 18.261719 1730722926.2933
MEM 22.710938 1730722926.3938
MEM 33.808594 1730722926.4943
MEM 36.308594 1730722926.5947
MEM 36.843750 1730722926.6951
MEM 37.136719 1730722926.7955
MEM 37.136719 1730722926.8959
MEM 39.281250 1730722926.9963
MEM 40.660156 1730722927.0965
MEM 43.078125 1730722927.1969
MEM 43.738281 1730722927.2973
MEM 44.886719 1730722927.3978
MEM 46.101562 1730722927.4981
MEM 46.785156 1730722927.5985
MEM 48.089844 1730722927.6990
MEM 48.953125 1730722927.7994
MEM 49.398438 1730722927.8998
MEM 50.328125 1730722928.0002
MEM 52.218750 1730722928.1006
MEM 53.027344 1730722928.2010
MEM 54.000000 1730722928.3014
MEM 54.628906 1730722928.4018
MEM 56.585938 1730722928.5022
MEM 58.632812 1730722928.6026
MEM 60.042969 1730722928.7031
MEM 60.773438 1730722928.8035
MEM 61.679688 1730722928.9039
MEM 63.511719 1730722929.0043
MEM 63.828125 1730722929.1047
MEM 65.910156 1730722929.2051
MEM 66.613281 1730722929.3055
MEM 68.578125 1730722929.4059
MEM 70.039062 1730722929.5063
MEM 72.531250 1730722929.6067
MEM 73.570312 1730722929.7071
MEM 74.679688 1730722929.8075
MEM 75.765625 1730722929.9079
MEM 77.847656 1730722930.0083
MEM 79.769531 1730722930.1087
MEM 80.625000 1730722930.2091
MEM 80.781250 1730722930.3095
MEM 81.628906 1730722930.4099
MEM 82.292969 1730722930.5103
MEM 86.878906 1730722930.6107
MEM 103.734375 1730722930.7112
MEM 108.660156 1730722930.8117
MEM 109.058594 1730722930.9121
MEM 109.058594 1730722931.0124
MEM 109.058594 1730722931.1128
MEM 109.058594 1730722931.2132
MEM 109.058594 1730722931.3137
MEM 109.058594 1730722931.4140
MEM 109.058594 1730722931.5144
MEM 109.058594 1730722931.6148
MEM 109.058594 1730722931.7152
MEM 109.058594 1730722931.8156
MEM 109.058594 1730722931.9160
MEM 109.058594 1730722932.0164
MEM 109.058594 1730722932.1170
MEM 109.058594 1730722932.2173
MEM 109.058594 1730722932.3175
MEM 109.058594 1730722932.4178
MEM 109.058594 1730722932.5181
MEM 109.058594 1730722932.6185
MEM 109.058594 1730722932.7189
MEM 109.058594 1730722932.8193
MEM 109.058594 1730722932.9197
MEM 109.058594 1730722933.0201
MEM 109.058594 1730722933.1205
MEM 109.058594 1730722933.2209
MEM 109.058594 1730722933.3213
MEM 109.058594 1730722933.4217
MEM 109.058594 1730722933.5221
MEM 109.058594 1730722933.6225
MEM 109.058594 1730722933.7230
MEM 109.058594 1730722933.8234
MEM 109.058594 1730722933.9238
MEM 109.058594 1730722934.0242
MEM 109.058594 1730722934.1246
MEM 109.058594 1730722934.2250
MEM 109.058594 1730722934.3254
MEM 109.058594 1730722934.4258
MEM 109.058594 1730722934.5262
MEM 109.058594 1730722934.6266
MEM 109.058594 1730722934.7270
MEM 109.058594 1730722934.8274
MEM 109.058594 1730722934.9278
MEM 109.058594 1730722935.0282
MEM 109.058594 1730722935.1286
MEM 109.058594 1730722935.2290
MEM 109.058594 1730722935.3294
MEM 109.058594 1730722935.4298
MEM 109.058594 1730722935.5302
MEM 109.058594 1730722935.6306
MEM 109.058594 1730722935.7310
MEM 109.058594 1730722935.8314
MEM 109.058594 1730722935.9318
MEM 109.058594 1730722936.0322
MEM 109.058594 1730722936.1326
MEM 109.058594 1730722936.2330
MEM 109.058594 1730722936.3334
MEM 109.058594 1730722936.4339
MEM 109.058594 1730722936.5343
MEM 109.058594 1730722936.6347
MEM 109.058594 1730722936.7351
MEM 109.058594 1730722936.8355
MEM 109.058594 1730722936.9359
MEM 109.058594 1730722937.0363
MEM 109.058594 1730722937.1367
MEM 109.058594 1730722937.2371
MEM 109.058594 1730722937.3375
MEM 109.058594 1730722937.4379
MEM 109.058594 1730722937.5383
MEM 109.058594 1730722937.6387
MEM 109.058594 1730722937.7391
MEM 109.058594 1730722937.8395
MEM 109.058594 1730722937.9399
MEM 109.058594 1730722938.0403
MEM 109.058594 1730722938.1407
MEM 109.058594 1730722938.2411
MEM 109.058594 1730722938.3415
MEM 109.058594 1730722938.4419
MEM 109.058594 1730722938.5423
MEM 109.058594 1730722938.6427
MEM 109.058594 1730722938.7431
MEM 109.058594 1730722938.8435
MEM 109.058594 1730722938.9439
MEM 109.058594 1730722939.0443
MEM 109.058594 1730722939.1447
MEM 109.058594 1730722939.2451
MEM 109.058594 1730722939.3455
MEM 109.058594 1730722939.4459
MEM 109.058594 1730722939.5463
MEM 109.058594 1730722939.6467
MEM 109.058594 1730722939.7471
MEM 109.058594 1730722939.8475
MEM 109.058594 1730722939.9479
MEM 109.058594 1730722940.0483
MEM 109.058594 1730722940.1487
MEM 109.058594 1730722940.2491
MEM 109.058594 1730722940.3495
MEM 109.058594 1730722940.4499
MEM 109.058594 1730722940.5503
MEM 109.058594 1730722940.6507
MEM 109.058594 1730722940.7511
MEM 109.058594 1730722940.8515
MEM 109.058594 1730722940.9519
MEM 109.058594 1730722941.0523
MEM 109.058594 1730722941.1527
MEM 109.058594 1730722941.2531
MEM 109.058594 1730722941.3535
MEM 109.058594 1730722941.4539
MEM 109.058594 1730722941.5543
MEM 109.058594 1730722941.6547
MEM 109.058594 1730722941.7551
MEM 109.058594 1730722941.8555
MEM 109.058594 1730722941.9559
MEM 109.058594 1730722942.0563
MEM 109.058594 1730722942.1567
MEM 109.058594 1730722942.2571
MEM 109.058594 1730722942.3575
MEM 109.058594 1730722942.4579
MEM 109.058594 1730722942.5583
MEM 109.058594 1730722942.6587
MEM 109.058594 1730722942.7591
MEM 109.058594 1730722942.8595
MEM 109.058594 1730722942.9599
MEM 109.058594 1730722943.0603
MEM 109.058594 1730722943.1607
MEM 109.058594 1730722943.2611
MEM 109.058594 1730722943.3615
MEM 109.058594 1730722943.4619
MEM 109.058594 1730722943.5623
MEM 109.058594 1730722943.6627
MEM 109.058594 1730722943.7631
MEM 109.058594 1730722943.8635
MEM 109.058594 1730722943.9639
MEM 109.058594 1730722944.0643
MEM 109.058594 1730722944.1647
MEM 109.058594 1730722944.2651
MEM 109.058594 1730722944.3655
MEM 109.058594 1730722944.4659
