virus_unid	human_unid
B8ZX42	P52292
B8ZX49	Q71UM5
B8ZX42	Q9H0U9
B8ZX42	Q9H270
B8ZX42	P27816
B8ZX49	Q9Y6C9
B8ZX49	Q9Y6N5
B8ZX42	O00635
B8ZX49	Q96JJ7
B8ZX49	P08240
B8ZX49	O60220
B8ZX42	O95292
B8ZX42	Q96JC1
B8ZX42	Q16527
B8ZX42	O95810
B8ZX49	Q9HC07
B8ZX42	Q14186
B8ZX49	P07237
B8ZX49	P16615
B8ZX42	Q70UQ0
B8ZX42	P34932
B8ZX42	P37108
B8ZX42	Q16254
B8ZX49	Q04721
B8ZX42	Q9UL15
B8ZX49	O15355
B8ZX49	Q96N66
B8ZX42	Q99615
B8ZX42	Q96IX5
B8ZX49	P35998
B8ZX42	P06400
B8ZX42	O95816
B8ZX42	P50402
P06931	P49023
P03122	P21675
P03122	P49848
P03122	P55209
P03122	Q13227
P03122	O60885
P03116	P27694
P03116	P63165
P03116	P63279
P06933	Q05086
P03116	O75925
P03116	O75928
P11298	O60885
P03122	P41229
P06931	P23142
P03122	Q16637
P06428	P84022
P06428	P40429
P06428	Q12834
P06428	Q08117
P06428	Q15648
P06428	P32242
P06428	P13807
P06428	P31947
P06428	P55040
P06428	Q9UHA4
P06428	Q15562
P06428	Q01664
P06428	P40937
P06428	P47897
P06428	P54646
P06428	P49643
P06428	Q8N6N6
P06428	Q6NYC8
P06428	P57059
P06428	Q8IYI6
P06428	Q8IVS8
P06428	Q8NEC5
P06428	Q96EL3
P06428	Q8TAE8
P06428	Q96HB5
P06428	Q9BT92
P06428	Q8NHQ1
P06428	Q9BWG6
P06428	Q7L4I2
P06428	Q9H257
P06428	Q9HBI0
P06428	Q9NP98
P06428	Q9NQL9
P06428	Q96HA8
P06428	Q8TD31
P06428	Q9Y272
P06428	Q8WUI4
P06428	Q9P0T4
P06428	Q9P0N9
P06428	Q8WUB2
P06428	Q9UMS0
P06428	Q9Y247
P06428	Q8WWY3
P06428	Q96T49
P06428	O60341
P06428	Q86UR1
P06428	Q13901
P06428	O75934
P06428	A8K8P3
P06428	P56524
P06428	O14964
P06428	O75604
P06430	P32519
P06430	Q8IXK0
P06430	P35219
P06428	Q9UBV8
P06428	Q8IYX8
P06428	Q14D33
P06430	P22415
P06430	P50222
P06430	P61978
P06430	Q8TAK5
P06430	Q96HT8
P06430	Q969E8
P06430	A4D1E9
P06430	Q96JC9
P06430	Q8TBB1
P06430	Q49A26
P06430	Q9BYG5
P06430	Q96FJ0
P06430	Q5VWN6
P06430	Q8WUI4
P06430	Q9NS73
P06430	O43572
P06430	P61964
P06428	Q15796
P06428	P62891
P06428	P08865
P06428	P05388
P06428	P00403
P06428	P15954
P06428	P30408
P06428	P26641
P06428	P00156
P06428	P07355
P06428	P05787
P06428	P83731
P06428	P13646
P06422	Q07021
P06422	Q01130
P06422	P15514
P06422	Q13309
P06422	Q9UM11
P06422	Q12834
P06930	Q5T7W7
P06930	P29218
P06930	Q15561
P06930	Q2YD98
P06932	P52739
P06932	Q06587
P06932	Q13131
P06932	Q5TAP6
P06932	Q5VWZ2
P06932	Q6P1W5
P06932	Q8TCP9
P06932	Q8TD10
P06932	Q9H972
P06930	P09086
P06932	Q8IYA8
P06932	O75817
P36817	Q8NCG7
P06932	O00560
P36810	P50995
P36810	P84077
P36810	Q8NDL9
P36810	Q496F6
P36810	P36404
P36827	P00414
P36827	Q86SG4
P36791	O94986
P36791	Q9NYF3
P36791	P53365
P36791	Q13950
P36791	Q13123
P36791	P12814
P36791	Q86XZ4
P36791	O95251
P36791	Q66K74
P36791	P50616
P36791	P02751
P36791	Q9NY93
P36791	Q6ZN55
P36791	Q96KG9
P36791	Q14533
P36791	Q9UJY5
P36791	P06733
P06788	P21980
P06463	Q16611
P06790	Q92831
P06463	Q09472
P06463	P20226
P06788	P24864
P06788	P20248
P06788	P28749
P06788	P24941
Q9QNP8	Q12959
P06463	O14908
P06790	Q09472
P06463	Q96QZ7
P06463	P26045
P06463	Q9HD26
P06463	Q96L92
P06463	O14936
P06789	P09914
P06788	Q8N448
P06788	Q96JM7
P06463	Q9NRG1
P06792	Q969F0
P06792	Q9BXK5
P06463	Q96F44
P06463	P07339
P06463	Q9Y3D0
P06463	P32942
P06463	Q9NYY3
P06463	O43760
P24835	Q9BXK5
P24835	Q9BQE3
P06788	P13667
P06463	P02792
P06463	Q92530
P24835	Q92597
P06463	Q7Z6J9
P06463	Q9BY07
P06463	Q13950
P06788	P12272
P06788	O94885
P06788	O43909
P06788	Q8WWH5
P24830	Q9H5V8
P24830	Q07817
P24830	Q96GD4
P24830	P02538
P24830	Q92905
P06790	O94842
P06790	Q9UHB9
P24830	Q8IZC6
P24830	O95471
P24830	P11474
P24830	Q8NEZ5
P24830	P04792
P24830	P80188
P24830	P02795
P24830	P13667
P24830	Q14289
P24830	Q15223
P24830	P60602
P24830	Q14134
P24830	Q8WWH5
P24830	P61086
P24830	Q9NPD8
P24830	O14980
P24830	P07858
P24830	Q9BZF9
P06788	Q86WV6
P06789	Q12824
P17389	Q15036
P24835	O95394
P03129	Q13573
P03129	P62851
P03129	Q08999
P03129	Q92831
P03129	P06400
P03129	P05412
P03129	P17275
P03129	P17535
P03129	P01100
P03129	P62191
P03129	Q09472
P03129	P10914
P03129	P20226
P03107	O00754
P03107	Q8TAE8
P03107	Q9GZM7
P03129	P62826
P03129	P38936
P03129	Q01094
P03129	P38398
P03129	Q92769
P03129	Q13547
P03129	Q14839
P03114	Q15645
P03129	Q14978
P03129	Q16254
P03129	Q14188
P03129	P67775
P03129	P30153
P03107	O00410
P03107	Q92973
P03107	Q14974
P03107	P52292
P03101	Q14974
P03129	P51784
P03129	O15304
P06927	Q93050
P03129	O15111
P03129	P12004
P03129	Q13895
P03129	Q08117
P03129	Q9P2H0
P03129	P25791
P03129	Q8TCE9
P03129	O95363
P03129	O15160
P03129	Q96I24
P03129	P24278
P03129	Q15561
P03129	P09132
P03129	P32969
P03129	P54646
P03129	Q9Y237
P03129	Q8WXI9
P06429	O43741
P03129	Q9BWG6
P06429	Q16656
P06429	P55081
P06429	Q16589
P06429	P20807
P06429	P00915
P06426	O43889
P03129	Q86Y26
P03129	Q8N7W2
P03129	Q8TAU3
P03129	Q8N2X6
P03129	Q8N5A5
P03129	Q17RD7
P03129	Q9C086
P03129	Q8NBS9
P03129	Q9H9D4
P03129	Q53FD0
P06429	P49721
P06429	Q9BWF3
P06429	P40306
P06429	Q8NEG0
P06429	Q8IVS8
P06429	Q96EL3
P06429	Q9BT43
P06429	Q3B820
P06429	Q96ME1
P06429	Q86VK4
P06429	Q9NR33
P06429	Q9NQY0
P06429	Q8TAP4
P06429	Q96KB5
P06429	Q96LT9
P06429	P99999
P06429	Q9NP87
P06429	Q96T49
P06429	Q9H1K1
P06429	O95971
P06429	Q9UJD0
P06429	Q86X95
P06429	O95872
P06429	Q12894
P06429	P05549
P06429	P08579
P06429	P52815
P06429	Q04206
P06429	Q0P5N6
P06429	Q6PF18
P06429	Q86V42
P06427	Q96RT1
P03129	P26641
P03129	Q9NQ31
P06429	O75376
P06427	Q9UQ26
P06427	Q9NQ31
P06427	Q9BUB7
