virus_unid	human_unid
B4URF7	O60220
P03468	Q9BSJ8
P15682	Q02878
P03468	P48047
Q20MH8	Q96J01
P06821	Q16401
P15682	P60174
P03433	P63167
B4URF7	Q99436
Q20MH8	Q15046
P15682	P62937
P15659	O75643
P03470	Q99729
P03470	P14618
Q8JSN8	Q14019
P05780	O75794
P03470	O60313
P03468	P31327
P15682	P62805
P03427	Q13445
Q1I2B2	Q13283
P03454	O43896
P03496	O95782
P03470	Q9Y5B9
Q20MH0	P30153
P03470	Q16186
P03427	Q2TB90
P15682	P62995
P03470	Q9Y4P3
P03470	P62807
P15682	P84243
Q20MH8	P56192
Q20MH4	Q6NXR0
P03452	P84095
P03468	P50454
P03452	P35606
Q1K9H2	P31942
Q8JSN8	P47914
P03454	P26368
P03468	Q99653
P03428	Q13011
P03470	Q02809
Q1K9H5	P63244
P03470	P51114
P15659	P04899
B4URE7	P12236
P03470	Q9NVV4
P03468	Q13509
P03470	Q9P2J5
P03470	P05388
Q1K9H5	Q96EQ0
B4URE7	O43615
P03470	P14923
P03427	Q15393
P03427	Q9UN86
P15682	P06744
P03427	P84098
P03470	P22626
P15682	O75400
P03454	P55036
P03454	P26006
Q20MH0	P23588
P03431	P49711
P03468	P02786
P15682	P60228
P03508	Q96PK6
P03454	P24534
P15659	Q6PKG0
P03431	P08708
P03427	Q9Y676
P03470	P02533
P03427	P26641
Q20MH8	Q99623
P03470	P40939
Q20MH8	O95373
P15659	P30050
P15682	P20290
P03508	Q9H2G9
Q20MH8	P04792
Q1K9H5	P62993
P15682	O75569
P15682	Q8N684
Q20MH4	P55769
P03468	O95299
P03427	Q00839
B4URE7	O75955
P03454	P07437
P03454	Q9Y6W3
P03468	P67775
P15682	Q08170
P03470	P62081
P03468	O60488
P15682	Q9Y224
P03452	Q9BQA1
Q1K9H5	P28070
P03470	O43852
Q20MH8	P62306
P03428	Q8NF37
Q20MH0	P62244
P06821	Q86SZ2
P03454	Q14152
P03454	Q99623
P15682	Q9P258
Q20MD0	Q9Y2D8
P03470	Q99459
P03470	Q9UN86
P03428	Q13595
P03454	Q15008
Q20MH0	P82914
P03468	P11413
P03496	Q16531
P15682	P60866
P03427	Q8WWM7
P15659	Q99832
Q1K9H5	P10515
Q8JSN8	Q5VWP2
P15659	O43242
P03427	Q9Y2H1
P03470	Q04323
Q20MH8	Q96E22
P03470	Q9BTE7
P03470	O43615
P03428	P62244
P15682	Q12905
P03454	P31946
Q1K9H5	Q14568
P03470	P23526
B4URE7	O00483
P15682	Q13263
Q1K9H5	P49721
Q20MH3	Q9UKV3
P03470	P46779
P03427	P07437
P15682	P12268
P03454	Q15366
P03470	Q9BUF5
P03496	Q9H936
P03470	O00487
P03470	P11387
P03470	Q92598
P15682	P06730
P03433	Q9NVP1
Q1K9H5	Q13501
Q8QPK2	Q9BX69
P03452	Q8N1F7
P15682	O43143
Q20MH3	Q9Y2W1
P15682	Q5T2S8
P03433	Q09161
P03496	O95573
Q20MH8	P06733
P03454	P05787
P03468	Q12904
P03470	Q00610
P03433	O43324
Q20MH8	Q96QU8
Q20MH0	O14744
P03470	P63244
P03452	Q9Y305
P03427	P62424
P15682	P07814
P15659	Q9BUA3
P03454	P68133
P15659	P05787
P03470	Q15717
Q194T2	O75934
P03470	Q01469
Q194T2	P61254
P03470	Q04637
P03428	Q9UPT8
P03427	Q9H0D6
P15659	P26373
Q1K9H5	P22314
Q1K9H5	P61981
P03470	P31689
P15682	P25205
P03496	Q9UL15
P03427	P55036
P03454	P61978
P15682	P18621
P03427	P05388
P03427	Q9ULH1
P03428	P62841
P15659	P11142
P15682	Q99733
P15659	P12236
P03454	Q9Y6M1
P15682	P13010
P15659	P84103
P03428	Q13509
P03470	P35527
P03470	P07900
P15682	P67809
P03454	P18077
P03433	Q9BYN8
P15682	P02545
P03468	Q9Y5M8
P03433	P62487
P15682	O75475
P03433	Q96SI9
P03470	Q07955
Q8JSN6	Q9BX82
P03468	O15173
Q1I2B2	Q9Y241
P03468	Q13200
Q1K9H5	Q9Y5Q9
P15682	Q92841
Q8JSN8	P07602
P15659	Q13200
P15682	P05141
P05780	Q99595
P03431	P52435
P03454	P13645
P03427	Q6PKG0
P03496	Q9Y399
P03470	P18077
P03452	P07858
P03427	P63167
P03470	Q08211
P03454	P51991
P15682	Q14157
P03431	Q96EY7
P03470	Q14974
P03452	O94826
P03427	P63220
P03470	P68032
P03452	Q86SJ2
Q8JSN8	P61457
P03468	P05556
Q1K9G9	P60953
P03470	P07737
Q8JSN8	Q92831
P15682	P07900
P03427	Q9UJY1
P15682	Q9H2P0
P03470	Q02543
Q20MH8	P34949
P15682	P62304
B4URE7	Q53H12
P03508	O95232
P03427	Q9BYJ9
P15659	P68104
P03470	Q96DT0
P15682	P27816
P03428	Q9Y446
Q194T2	O75152
Q1K9H2	Q16531
B4URE7	P12004
P03496	A0AV96
P03468	P24539
P15659	P05388
P15682	Q9H0J9
P03454	P02545
P03427	P84077
P03470	P08708
Q20MH3	P38919
B4URF7	P28072
P15682	P18124
P03470	Q9HAV0
Q20MH4	P05165
Q1K9H5	O95905
P15659	Q9UDW1
P15659	Q07955
P03508	Q9P015
Q20MH8	Q96HS1
P15682	P31943
P03470	P46777
P03427	P55084
P15682	P26038
P05780	P60903
P15682	P62314
Q1K9G9	O95399
P15682	P08758
P15659	A6NHR9
P03468	P22695
P03427	Q15208
P03470	P30041
P03468	P84095
P03470	P67936
Q8JSN6	Q13123
Q20MH8	O75251
P03468	P11166
P03454	P23528
P03428	Q09161
P03427	P62753
P15659	O95232
P03470	P61981
P03470	P07814
P03496	Q00610
Q20MH0	Q92598
P03508	Q13501
P15682	P60903
B4URE7	P12235
P03454	P62701
P03454	P07355
P03470	Q00325
P03452	P04843
P03454	P84098
P03470	Q12906
P05780	P29144
P03470	P04632
P15682	Q86UE4
P03427	P05141
P03468	Q8WUY1
Q20MH8	Q969Z0
P03508	Q9UJ41
P15659	P62244
A4ZNQ3	P40429
P05780	O60664
P03508	O43823
P15682	P61604
P03496	P09012
Q20MH3	P0CB38
P15682	P0C0S8
P15682	P26373
P03468	O95573
P03468	Q8NBQ5
P05780	Q9NYH9
P15659	P11388
P03468	Q15070
P03454	P07305
P03428	P39019
P03431	Q8IXM3
P03427	P31943
P03454	P10809
P03428	O60218
P03470	P62899
Q1K9H2	O75533
P03470	Q15363
P06821	P61020
P03496	O60716
P03454	P61247
P03452	O43813
P03428	Q9Y399
P15659	O95793
P03468	Q9NZ08
P03468	O60656
P03427	P61254
P03427	P83881
Q20MD0	Q8N448
B4URE7	Q96AB3
P03452	Q6ZRP7
P03452	Q8IY17
P03470	P62750
P15659	P05387
P03508	Q8IX01
P03470	P22392
P15682	P63173
P03470	P18124
P03508	P52294
P03428	Q5SWX8
P03452	Q03169
Q20MH8	Q8TEX9
P03496	Q92598
P15659	P0DN76
P03468	P62873
P03470	P05198
P05780	Q9NWZ8
P03468	P61026
P03496	Q15434
P03470	P43487
P15682	P60842
P03468	Q9BPW8
P03468	Q96AG4
P03470	O94874
P03427	P82673
P03470	P04350
P03508	O60832
P03454	P42677
Q8JSN6	B7ZAQ6
P15659	P23588
P03470	P62888
Q1K9H5	P60900
Q1I2B2	Q02413
P15682	P13639
P03470	Q16576
P03452	Q15084
P03454	O75531
P05780	Q8TED1
P03454	P48643
Q20MH3	O60832
P03470	P14625
P03470	Q2TB90
P15682	O95758
Q20MH4	P14136
P15659	Q86V81
P05780	Q14738
P03454	O43143
P15682	P51532
Q20MH0	Q00325
P03508	P82912
P03427	P49207
P03508	O95816
Q20MH0	P61978
P03468	P12004
Q8JSN8	P78524
Q20MH4	Q5T5U3
B4URE7	P61204
P03454	P23458
P03454	Q9GZQ8
P05780	Q6ZRP7
Q1K9H5	P05023
P03468	P00352
P03470	P25705
P03454	P25705
P03431	P55884
P03454	O95232
P03470	P27348
P03468	Q5BJD5
Q1K9H5	P62280
P03454	P43403
P15659	P08670
P03427	P16152
P15682	P50991
P03470	P07237
P15682	P62308
B4URE7	Q15070
Q1K9H5	Q16531
P03470	Q9Y3I0
P03470	Q92945
P03454	P46776
P03452	O15270
P03470	O95793
B4URE7	O60762
P03470	P62269
P03433	P82930
P03427	Q07666
Q20MH8	O76071
P03470	P53680
P15682	P31946
P03427	P26373
P03454	P26038
P03468	O60218
Q1K9H5	Q8N6T3
P03508	P04843
P03496	A1L0T0
Q1K9H2	Q9NTK5
P03470	Q9Y265
P03452	P00403
P03470	O15042
P03470	P61289
P15682	P68133
P15659	P52597
P03452	P25787
P05780	O43663
P03427	Q9Y3U8
P15682	P13645
Q20MH4	P36542
Q1K9H5	P20700
P15682	O15042
P03427	Q86Y46
P03468	Q9UBX3
P15682	Q99623
Q1K9H5	P13797
P03427	O95232
P03470	Q8N684
Q1K9H5	O15355
P03452	Q96T76
P03470	Q9Y3B4
P15682	O43823
P03470	Q9Y3F4
P03468	P33993
P05780	Q15021
P15659	Q8WWY3
P03454	P62277
B4UPA8	P11142
P15682	Q00610
P03470	P60174
Q20MH8	Q96T76
P03470	P06744
P05780	Q2TB90
P03433	P09012
P15682	P14625
P15659	Q14498
P03454	P50454
P03427	Q13283
P03508	Q8ND90
P03470	Q13151
B4URE7	P62851
Q1K9H5	P46459
Q1K9H5	Q9UHG3
Q1K9H2	Q15717
P03427	P25705
P15659	Q02878
B4URE7	Q86T03
P15659	P61254
P03468	Q9UBS4
P15659	O94808
P03468	Q9UNM6
P03508	Q93062
B4UPA8	O95793
Q20MH8	P35232
Q1K9H5	P49327
P03470	P67809
P03431	Q92665
P15682	Q6NZI2
Q20MH4	Q96F45
Q20MH3	Q13247
Q20MH0	P62263
P03470	Q92522
P15659	Q13435
P03470	P23246
P15682	P62854
P03496	P49406
Q20MH0	P62081
P03470	Q5H9R7
P03508	Q9Y2R9
P03468	Q8N8R3
Q20MH0	Q14257
P03470	Q13283
P03433	O14744
P03470	P14866
B4URE7	P10321
P15682	P49207
P03427	P63244
P03470	P26196
P03470	P62195
Q1K9H5	P31040
B4URE7	P61421
P03427	P42766
P03470	P0DP23
P03454	P40227
P03470	Q9Y5A9
P15659	Q9UL15
Q8JSN8	P27105
P03427	P10599
Q20MD0	P19338
P03470	P04075
P15682	P10809
P03470	P07951
P03452	P84077
P06821	Q8WXE1
P03454	P49755
P03431	P82932
P15682	Q01082
P03468	O14684
B4URF7	P28070
P03431	Q16555
Q194T2	P41208
Q1K9H5	P24534
Q99AU3	P46109
Q1K9H2	Q9NUL3
Q1K9H2	P18077
P03454	Q9BUA3
P03431	P12270
Q1K9H5	Q9UNF1
Q20MH8	P62314
P15659	P07910
Q20MH8	P42345
P15659	P04844
P15682	P26368
P03470	P29692
P03496	O00767
P03470	Q14527
P03452	O14967
P05780	Q96PU8
B4URE7	Q5HYK3
P03470	P12814
P03470	Q9P2E9
P03496	P20700
Q194T2	Q9Y6M1
P03470	Q9NYU1
P03454	P19474
Q20MH8	P41252
P15659	Q9Y2W1
P03470	Q96HS1
P03431	Q9UNQ2
Q1K9H2	Q13242
Q1K9H5	Q04917
Q194T2	O43660
P15659	P31946
Q20MH3	O75643
P15659	P60903
P15659	Q8IWX8
Q9DLK6	Q14684
P15682	P08865
P15682	Q8NI27
P05780	O14787
Q20MD0	Q9HA38
P03468	P51571
P03468	Q9H0U4
P05780	Q92945
B4URE7	O60488
P03496	Q96DV4
Q20MH8	Q9BSJ2
P05780	Q9HCN4
Q194T2	Q96I24
P03470	Q6P2Q9
P03427	P16401
P03431	A0AV96
P03454	Q13813
P03470	P02545
P03468	O60518
P03452	P48047
P03427	P04844
Q1K9H2	P49458
P15682	P49902
Q1K9G9	P31151
Q1K9H5	A8MTJ3
P03454	O60256
B4URF7	Q8N163
P15682	P62318
P03454	P68104
P15682	Q07157
P03468	Q9BZQ6
P03496	Q9BPW8
I6TAG8	Q9UL40
P03468	Q6P3X3
Q194T2	Q9ULR0
P03470	P0DN76
Q1K9H5	Q9NRX5
P03452	Q99470
P03427	P62081
P03427	Q92900
P15682	P10412
P15682	P98175
P03508	Q9NVI7
P15682	Q15233
P03431	Q13509
P03496	Q13509
P15682	P16403
Q20MH8	P54136
P15659	P19338
P03454	P51571
P03454	P0C0S5
P03452	P84090
P03470	Q16891
P15682	P12956
P03454	Q13200
P03452	Q16531
Q20MH8	P55786
Q194T2	Q8WUD4
P15659	P62081
P03427	Q9P2K5
P03454	Q9Y2W1
P03433	Q96KR1
P03427	P22626
P03470	P16401
B4URF7	P49721
P03470	P07437
Q20MH0	Q9NRN7
P15659	P31689
P03470	P35908
P03470	Q9Y490
Q20MH8	Q9UBB6
P15682	Q9Y678
P03468	Q9Y5Z9
P03470	Q05682
P03427	Q8WWY3
P03470	P12956
P03468	O00483
Q1I2B2	Q6KB66
P03454	O75964
P03452	Q9BSD7
P03468	Q13148
P03470	Q99470
P03470	P16403
P03431	Q92522
P03496	O00483
Q1K9H5	O75439
P03454	Q13464
P15659	P10599
P15682	O43684
P03470	Q8NC51
I6TAG8	Q9H898
Q20MH4	P56385
P03428	P50416
P15682	Q5T4B2
Q194T2	O00425
P03433	O60218
P03468	Q86SJ2
P05780	P37235
P03468	Q16531
P15659	Q9BQE3
P15659	P46782
P03508	O94973
B4URE7	P83916
P03470	P30153
Q20MH8	P35249
P03454	P35908
P15682	P27797
Q20MH8	Q9NVA4
P03452	Q96JJ7
P03431	Q8TAQ2
P05780	O75369
P03470	P82933
Q20MH3	Q1KMD3
P03427	P18621
P03452	P18085
P03508	P07355
P03468	O43795
P03427	Q9NRN7
P03427	P05387
P03496	P82673
P03427	P23588
P03454	P61513
P03428	O43390
P03470	P18669
P03470	P22087
P15659	O14925
Q20MH8	Q92973
P03470	Q15046
P06821	O60218
P15682	P17844
P15682	P49137
P03452	Q9HBH0
P15682	P22626
P03470	Q02952
P05780	Q9BPZ3
Q1K9H2	Q01130
Q1K9H2	O75526
P03427	P26358
P15659	P21333
P03427	P31946
P03427	Q13200
P03468	Q96IV0
P03508	P19387
P03454	P10599
Q194T2	P62316
P03454	P62314
Q20MH8	O43324
P15659	P48643
P03427	P07814
P03468	Q14318
P15659	Q15008
Q20MH8	Q15058
P03452	O00743
P03452	Q9NYL9
Q1K9H5	O43765
P15682	Q13151
P03427	P84090
P03427	Q99880
P03454	P62280
P05780	P02511
P03468	Q15645
Q20MH8	Q5SRE5
P15659	Q00325
P03496	P18077
P15682	Q13435
Q1K9H5	Q9NP97
B4UPA8	Q9H190
Q20MH8	Q8WXE1
P03454	P09429
P03496	Q7Z2W4
P03470	Q8TDI0
Q8JSN8	P10589
P15682	Q15366
P03427	P43243
P03428	Q9HD33
P03470	P37802
P03454	P62273
P03427	Q9BQE3
P03470	O75533
P15682	P84098
P15682	Q92598
P03428	Q15008
Q1K9H5	P62195
P15682	P35251
P15682	P62280
P05780	Q9UPT9
Q20MH4	Q9NX40
P03470	P35268
P03470	Q8TDL5
P03468	Q03519
P15682	Q00341
P15682	Q9UKV3
P05780	O43805
P15682	P83731
P03454	P49327
P15682	P62899
P03433	Q9Y6M1
P03428	O00303
P03496	Q13015
Q8QPK2	Q9NPP4
Q1K9G9	O43815
I6TAG8	Q96AT1
Q8JSN8	Q8TD31
P03454	P62269
P03470	P52789
P15682	Q13509
P03452	P28066
P03470	P04792
P03431	O95232
P03470	O75390
P03470	P62495
P15659	P20700
P03427	O00487
Q1K9H2	Q96EP5
P15659	Q9BVI4
P03468	Q13217
P15682	P23396
P05780	Q92564
P03454	Q99729
P03427	P62829
P03428	Q9NR56
Q20MH8	Q14139
P15682	P61513
P15659	Q9UNM6
P03468	Q6NUK1
P03454	P62847
P15682	Q86YL7
P03431	P10155
Q1K9H2	Q92552
P03433	P08579
P03470	Q9Y266
P15659	P60842
Q1K9H5	O15228
Q1K9H2	Q9Y291
P03470	P62316
P15682	P98179
P03468	P61106
P03470	P26641
P03470	Q14558
P15682	Q53F19
P03454	P06733
P03470	P52732
P03427	P46821
P03496	Q9UBS4
P03496	P31327
P03470	P08758
P05780	Q99442
P03454	Q8WWY3
P03470	Q8WWY3
P03454	P55209
P15682	Q13838
P15659	Q9UMS4
Q20MD4	Q92997
P03470	Q09028
B4URF7	Q14568
Q20MH8	Q6JQN1
P03470	Q7L014
P05780	Q8N335
B4URF7	Q9BWF3
P03470	P09874
P03454	P46782
P15682	P52907
P15659	P35268
P03433	Q96PK6
P15682	Q07065
P03470	O43390
P03427	Q9UKM9
B4URF7	Q16186
P03508	Q16555
B4URF7	P57721
Q20MH4	P56134
P05780	Q9UP83
P03470	P11142
P03454	P54105
P03468	P22309
P03428	O00231
P03427	P27348
P03427	P31153
P05780	P61201
P03470	P62820
P03470	P31943
Q20MD0	Q6NT76
P03468	O96005
P03470	P25398
Q1K9H5	P62191
P03454	Q07666
P03428	P08574
P05780	Q8NGL6
P03454	Q6ZN66
P03470	P31151
P03496	Q10570
P03427	Q9UHB7
Q20MH8	Q9Y2V7
P03433	P30048
P03496	O00487
P15659	P84077
P03470	P62910
P03508	P82675
Q8JSN8	P50570
Q20MH8	Q15054
P15659	Q9NS86
P03508	O43852
P15682	Q16576
P03496	Q12797
Q20MH8	P47897
P03508	Q13595
Q20MH3	P52292
Q20MH4	P12273
Q20MH0	P78371
P15682	P68371
P03470	Q9NVI7
P03508	P09382
P03508	O00743
P03468	O43156
P03470	P49458
P15682	P48444
P03470	O15371
A4ZNQ3	Q92966
P03468	Q5SRE5
P03508	Q8NF37
P03428	Q92879
Q1K9H5	O95292
P03428	P82932
Q1K9H2	Q86U42
P03470	Q8N1W1
P05780	O14893
P06821	P0DI81
P03470	Q8IYB3
Q1K9G9	Q92598
B4URE7	Q15758
P03470	Q49A26
P03452	Q9P032
P15659	Q9HCD5
P03454	P17096
P03452	Q9H9B4
P03496	P31153
P15682	Q15428
P03468	P40938
P15682	P61313
P15659	Q9UN86
Q20MH8	P17812
B4URE7	Q9Y289
P03427	Q16875
Q8JSN8	A8K0R7
Q1K9H5	Q14165
P03428	Q92665
P03470	P27797
P03468	A1L0T0
B4URF7	Q9Y5J9
P03427	P16403
P15682	Q16629
Q1K9H5	Q92896
P15682	Q12906
P05780	Q7L5N1
P15659	P62249
P03470	Q14692
P03452	O60656
P03427	P0DN76
Q8JSN8	Q15637
P03454	P09874
P03470	O14979
B4URE7	Q7Z3Y8
P03454	Q13439
P15682	P43243
P05780	Q969Z0
P03452	Q9UNM6
Q20MH8	P53985
P15659	P62266
Q1K9H5	Q9BT78
P03508	Q8IXM3
P03427	P13647
P15659	Q99613
P15682	Q9Y692
P03431	Q15020
Q8JSN8	Q9BRK4
Q1K9H5	P48643
Q99AU3	O95786
P15659	Q8TDF6
Q8JSN8	P61769
P03431	P62487
Q1K9H5	Q9UK41
P03454	Q13435
P03433	P07355
P15682	P08708
P03454	P50991
Q20MH0	P62750
P03431	Q9H2U1
P03454	P08708
P03454	P84243
P03468	Q9BVK6
Q20MH8	Q9BT22
P03496	Q9NXH8
P03427	E9PAV3
Q20MH4	P45973
Q8JSN8	Q86TI2
P15682	Q15029
P03431	Q9UKV8
P03433	Q92769
P03508	Q9P1Z2
P03454	P51114
P03470	Q00839
P03431	P42330
P03470	Q16875
Q8JSN8	P42224
P03454	P05386
P15682	P07305
P03468	Q15758
P03470	P60891
B4URE7	P39656
P03468	O95202
P03452	P17858
P03468	Q7Z7H8
P03470	O75643
P06821	P31949
P03454	P0DP23
P03452	Q2TB90
Q8JSN8	Q9HB21
P03468	O76031
P03452	O00767
P03427	Q07955
Q20MH8	Q9UIA9
P15659	Q13247
P03470	P47914
P03454	Q9NYF8
Q8JSN8	P23284
P06821	Q9H4A6
Q1K9H5	P28072
P15682	P06703
P15659	Q6P3W7
P03452	Q96EY1
Q20MH8	Q8N1F7
P03470	P50991
P03454	P11021
P0DOE7	P48736
P15659	P13639
Q20MH3	O00629
P03452	Q13509
P03468	P58557
Q1K9H5	P17980
P03454	Q16643
P03428	Q92522
Q1K9H2	Q15050
P03496	P62277
P03431	Q96KR1
Q194T2	Q6P2Q9
P03470	P62906
P03433	Q14244
P03470	Q96I25
Q1K9H2	O43390
P03454	P04075
P15682	P62826
P03470	Q13435
Q20MH4	P37802
Q8JSN8	O15143
P03452	Q9Y2S7
P03428	P54886
P03496	Q92665
P03508	P04844
P03427	Q14681
P15682	Q12873
P03508	Q12996
P03470	Q9Y3Z3
P03470	Q9C035
Q20MH0	P30050
P03470	P62805
P03470	P41252
P03452	P35579
P03452	O15260
P03427	Q92841
P15682	Q2TAY7
P03470	Q06323
P03454	Q9Y608
B4URE7	Q14CN4
P03470	Q92900
P15682	P14866
P15682	P46783
P15659	Q16629
P03508	P46781
P15659	P54105
P03427	Q9UNM6
Q20MH4	Q32P51
Q20MH8	Q13155
B4URF7	P60900
P03468	Q9HAV4
Q1K9H2	P30044
P15659	P55072
Q1I2B2	Q14112
P15682	O60506
P03454	Q8IXK0
P03431	Q96SI9
P15682	O43809
B4URE7	Q8NCP5
Q1K9H2	Q96EL3
Q20MH8	Q9HAS0
P15682	Q9BXS6
P15682	P06753
Q194T2	Q14151
P03470	Q13243
P06821	O43237
P03470	Q14257
P15682	A1L443
P03508	Q9H9J2
P03431	Q12873
P15682	Q05639
P03470	P51665
B4URF7	Q5W0B1
P15659	Q9UJY1
P03454	P61353
P03470	P06733
Q194T2	P42766
P03431	P22392
Q1K9H5	Q9Y230
P03431	P63272
Q8JSN8	P53355
P03508	Q14974
P15682	P06737
B4URE7	P01111
P15659	P06748
P06821	Q9Y3E5
P03496	Q9C005
P03508	Q92879
P03470	P27816
P03454	Q08380
P03431	Q9Y265
P05780	Q6YHU6
Q1K9H2	Q9BPZ3
P03470	P31948
P03470	P17980
P03427	P12236
P03468	P43686
Q1K9H5	P49006
P03470	O00232
P03452	P34932
P03454	P08621
Q1K9H5	P31946
P03470	Q99832
P03427	P63151
P15682	O75506
P03452	Q12797
P03470	P78362
P15682	P21333
P03470	P46379
P03470	P37108
P03454	P07737
P15659	P05455
P03470	Q9BUJ2
P15682	P35659
Q20MH8	A6NDU8
P03428	Q96KR1
P03496	O95347
P03431	Q92922
P03433	O76021
P05780	P69905
P03496	Q02543
P15659	P0DMV9
P03427	Q96M95
P03454	Q15208
Q20MH8	Q68E01
P03454	P62081
P03468	P20339
P15682	P16401
P03452	P31327
P03470	P46782
Q1K9H5	P60842
P03454	P49902
P15682	O43242
P03454	Q32P28
B4URF7	Q6ZUT9
P15659	Q07021
Q1K9H5	Q9UPU7
Q20MH8	Q92990
Q20MH8	Q14746
P15659	P62424
P03454	P04264
B4URE7	O00560
P03508	Q96DZ9
P03470	P62249
P03470	P35659
P03496	O00231
P03427	P62266
Q20MH8	Q86XI2
P03468	P51148
P15682	P62277
P03427	P0C0S8
P03470	Q14697
P03496	Q13148
P03470	P52597
P03470	Q9BRS2
P15682	O95373
P03454	P14618
P15682	Q9BVI4
P03454	P62888
P03508	Q05048
P03470	P23588
P03470	P10412
P03468	Q9BRQ8
P03470	P08865
P15682	P62888
P03452	O43852
Q8JSN8	Q96MU7
P03428	P09661
P15682	O60841
P03454	P61604
P15682	P62807
Q194T2	P08579
P03470	P04406
Q20MH0	P07355
P05780	P68366
P15682	Q5H9R7
P03508	Q53GQ0
Q20MH8	Q9H840
P03431	O75369
P03470	P48643
P05780	P35527
P03468	Q8N163
P03470	Q9H0D6
Q20MH0	P68371
P03470	P62280
P15682	P23528
P03427	O15021
P15659	Q99460
P03427	Q9NUL3
P03454	Q15057
Q1K9G9	Q9Y3B7
P03468	Q7KZN9
B4URF7	O95391
B4UPA8	P50222
P15659	P22626
P03470	Q9BQE3
P03470	P08133
P03508	O60218
P15659	Q07020
P03454	P27348
P03427	Q9Y5F1
P03427	P37108
P03470	Q14498
Q20MH0	P60468
P03454	P48556
Q20MH8	Q08AM6
P03470	P35998
P03470	O43684
P03468	Q13637
Q1K9H5	Q96GA3
P03454	Q9Y266
P03470	Q9BRV8
P03470	P49137
P06821	Q96AD5
P15682	Q14151
Q8JSN8	P0DP58
P03431	P63167
P03454	P35268
P03470	Q15366
B4URF7	P62195
P03496	P08195
P03452	P62191
Q20MH0	P26373
P03466	O14980
P03452	Q9HCN8
P03508	P08579
Q1K9G9	Q9NZT1
P03470	P63208
P15659	P31153
P05780	Q9UBT7
P03470	P84103
P03452	Q9Y285
P03470	P09234
P03431	Q9HCD5
P15682	Q71RC2
P03454	P10412
P05780	P49585
B4URE7	Q6IAA8
P03470	P26006
Q20MH8	Q9GZT3
P03470	P63241
P05780	Q92990
P03454	P81605
P05780	Q02338
P03508	P26368
Q1K9H5	Q96EY5
P03508	Q9BYN8
P15659	P08708
Q8JSN8	Q00169
Q1K9H5	Q9HCU5
P15682	Q9UMS4
P03454	O15523
Q20MH3	Q16629
Q1K9H2	O14559
P03428	P62487
P03452	P55884
P03496	P00367
P15682	O00232
P15682	P07355
P03454	P07237
P03427	P35908
P03468	Q53GQ0
P03433	O43823
Q1K9H5	P54707
P03468	O14975
P03508	P50416
B4URF7	P27708
P03427	Q92552
P03470	P17812
P03470	Q8NBJ5
B4UPA8	Q8N448
Q20MH0	P18621
P03431	P98175
P03470	Q8TF72
Q20MH8	Q9NWZ8
P15659	P62263
P03470	Q8TD20
P03454	Q3V6T2
P15682	Q9BYJ9
P03508	Q96T37
P03454	P05198
P03508	P82914
B4URF7	P62714
P15682	P31689
P15682	P25705
P03454	Q9Y3B4
P03470	P60903
P03470	P68104
Q1K9H2	Q9H307
P03470	P10809
P03496	P14868
P03454	P30101
P15682	O94992
P15682	P35908
P03433	P55769
Q8JSN8	Q9BS18
P15682	P07737
Q20MH8	Q02978
P03454	P49458
Q194T2	P46109
P03470	P62834
P15682	P61353
P03454	Q9BRL6
P03427	P49790
P15682	Q6P2Q9
P15682	P62829
P03454	P09382
Q20MH8	P07814
P03428	Q12996
Q20MH3	P26378
P03470	P08670
P15682	P40227
Q20MH3	Q96DF8
P03433	O00629
P03470	P14678
Q20MH0	Q13200
P03470	Q15233
P03427	P51398
P03427	P13010
B4URE7	P51809
P15659	Q8IW93
Q20MH8	Q12769
P03452	P46977
P03470	Q07021
Q20MH8	P10589
P03508	Q99081
P03433	O60832
P15682	Q13347
P03428	Q14247
P03470	Q5SWX8
P15682	Q14103
P03427	Q12906
P03454	P25789
Q194T2	P51398
P03428	P82675
P03470	P54277
B4URE7	Q13257
Q1K9H5	Q6YN16
P06821	O15228
P03468	O00148
P03431	P34932
P03428	Q9Y2Q9
P03470	P68371
P03454	P09496
P15682	Q16778
P15682	Q13247
P03428	P33240
P15682	P05388
P03508	Q96EL3
P03427	P52597
P03470	P30044
Q1K9H5	Q99733
P15682	Q86YP4
P03470	P31946
P03454	P82914
B4URE7	O95197
P03470	Q13813
P15659	O75506
P03427	Q4G0N8
P03428	O15514
P05780	P29033
P03427	Q13885
P03433	P35637
P03452	P14625
P15682	Q14258
Q1K9H5	O00264
P03468	P05091
P03468	Q86Y56
P03428	Q9UJV9
Q20MH8	Q9HAV4
P03433	Q71DI3
P15659	O95817
P03468	O95373
P15682	P46776
P03470	P51991
P03470	Q92973
P03454	Q02543
P03427	P62910
P03433	P46940
P03468	Q9HBH0
P03496	Q96PU8
Q20MH8	Q15645
P05780	Q96JB2
P05780	Q68D91
P15682	Q8NHQ9
P03496	Q9HD33
P03433	Q8NEJ9
B4URE7	P84085
Q20MH8	Q29RF7
P15659	P35544
P03428	Q92769
P03468	P04844
P03427	Q96EY7
P15682	Q8TES7
P03470	P20290
Q1K9H5	O60830
P15682	P09651
Q194T2	P39019
P03496	Q9ULX6
P03468	P56192
P15682	Q13310
P03454	P07910
P03428	O15212
P03428	Q9C005
P15682	Q8WXX5
P03470	Q16222
P03454	P46781
P03452	Q96CS3
P03454	P80723
Q20MH8	Q9NWW5
P03468	P61619
